450.415009 -401.214874 396.421234, -409.132629 404.310852 438.685455, 375.999420 430.858612 -438.395142, -421.095886 -433.221802 -396.118530, 
450.988251 -400.812012 396.064972, -408.831299 404.254028 438.781525, 375.021149 430.635071 -439.192932, -421.496490 -433.976288 -395.537476, 
451.408142 -400.269562 396.098358, -408.328583 404.620026 438.826691, 374.712402 430.393341 -440.103943, -421.654663 -434.175079 -394.823883, 
452.120758 -399.786774 395.951874, -408.111115 404.681580 438.919525, 373.761993 430.380371 -440.759064, -421.709167 -434.998413 -393.928894, 
453.080200 -399.121857 395.324524, -408.136078 404.590912 439.183044, 372.920227 430.715851 -441.254333, -421.943420 -435.411255 -393.081543, 
453.734955 -398.681854 395.068085, -407.850952 404.317627 439.677490, 371.712433 430.842041 -441.945831, -421.906281 -436.066193 -392.604401, 
454.206512 -398.160522 395.138947, -407.553314 404.538605 439.781677, 370.819092 430.809082 -442.604889, -421.840149 -436.871552 -391.802338, 
454.948700 -397.735382 394.895599, -407.261078 404.672363 439.975922, 370.027496 430.801910 -443.245514, -422.023621 -437.389618 -390.828033, 
455.517181 -397.037964 394.329742, -407.130249 404.992126 439.840332, 369.426239 430.647766 -444.096893, -422.670868 -437.947327 -389.864044, 
456.335724 -396.603851 394.055664, -406.813263 404.984528 440.074371, 368.641571 430.693390 -444.746887, -422.781067 -438.397034 -389.028168, 
457.022461 -396.167480 393.872772, -406.483643 404.725830 440.669800, 367.506165 430.924377 -445.271790, -422.657837 -438.933929 -388.545471, 
457.848419 -395.873047 393.135681, -406.106140 404.734497 440.932953, 366.698181 431.187653 -445.889465, -422.969330 -439.311035 -387.710602, 
458.340332 -395.116516 393.010956, -406.364899 404.785126 441.016663, 365.590942 431.721100 -446.241058, -422.683258 -440.120850 -387.061096, 
459.053009 -394.689056 392.706238, -406.024048 404.479828 441.523254, 364.440643 431.841034 -446.953705, -422.657074 -440.693756 -386.574341, 
460.039856 -393.984863 392.147247, -406.072235 404.395203 441.755127, 363.557190 432.199677 -447.407745, -422.767792 -441.187195 -385.689331, 
460.882874 -392.978912 391.974854, -406.148376 404.318420 441.793274, 362.417755 432.541290 -448.214783, -422.523712 -442.056793 -384.872955, 
461.454315 -392.211060 391.587830, -406.044281 404.436981 441.819672, 361.318573 432.540436 -449.162781, -422.763184 -442.906586 -384.021454, 
462.027466 -391.810974 391.413910, -405.844543 404.241272 442.024384, 360.597717 432.582092 -449.753693, -422.729919 -443.273590 -383.656006, 
462.923309 -391.314423 391.199677, -405.416382 404.259430 442.586426, 359.381378 432.659210 -450.360260, -422.764221 -443.997498 -382.561066, 
463.259277 -390.958618 391.072235, -405.155640 404.446289 442.733917, 358.695526 432.647675 -450.940369, -422.878113 -444.393341 -381.949463, 
464.140198 -390.198181 390.960388, -405.260101 404.399048 442.778961, 357.791016 432.701080 -451.419891, -422.805084 -445.237091 -380.988525, 
464.997833 -389.766693 390.305939, -404.943695 404.422760 442.821320, 356.671509 432.794189 -452.208221, -423.056335 -446.141815 -379.994965, 
465.437286 -389.219696 390.093018, -404.323914 404.846008 442.884705, 355.658783 432.433075 -453.352478, -423.533386 -446.901184 -378.957153, 
466.179474 -388.752991 389.849548, -404.025482 404.905182 443.090057, 354.945007 432.413849 -453.991486, -423.641235 -447.324677 -378.096436, 
466.984772 -388.229187 389.297211, -404.069397 404.497620 443.666656, 353.703125 432.751801 -454.330414, -423.661591 -447.923340 -377.577698, 
467.263306 -387.921906 389.143585, -403.803436 404.757690 443.828156, 353.024323 432.710358 -454.876953, -423.830170 -448.315735 -376.900482, 
468.048859 -387.349121 389.077209, -403.465240 404.978882 443.702637, 352.611267 432.631500 -455.481812, -423.790375 -448.905121 -375.943298, 
468.829498 -386.822906 388.819122, -403.171936 405.090637 443.887085, 351.874268 432.565155 -456.171204, -423.984924 -449.302887 -374.993835, 
469.158783 -386.205048 388.387817, -402.944946 405.728973 443.839355, 350.871368 432.648254 -456.990448, -424.251770 -450.058319 -373.928986, 
469.829163 -386.217438 387.922485, -402.288788 405.967468 444.085571, 349.947662 432.427185 -457.471130, -424.820465 -450.760590 -372.760590, 
470.263550 -386.069763 387.223297, -401.793976 406.031860 444.772644, 348.896973 432.592133 -458.103882, -425.261047 -450.938873 -372.051697, 
470.593933 -385.984711 386.757355, -400.814941 406.562469 445.057129, 348.247375 432.344971 -459.034393, -425.847595 -451.051636 -371.291748, 
471.154358 -385.641052 386.206909, -400.212646 406.767303 445.423492, 347.460632 432.416931 -459.805359, -426.088776 -451.448029 -370.442474, 
471.826630 -385.446716 385.758148, -400.010681 406.956207 445.676270, 346.838257 432.315491 -460.059113, -426.666138 -451.732452 -369.348419, 
472.199097 -385.235199 385.152100, -399.637634 407.191406 445.864990, 346.052002 432.420166 -460.670319, -427.015045 -452.128906 -368.616882, 
472.702301 -385.314270 384.805237, -398.862152 407.896759 445.841156, 345.701538 432.018311 -461.138977, -427.640839 -452.544159 -367.324585, 
473.124634 -385.309601 384.146729, -398.107727 408.127686 446.132294, 344.901459 432.123077 -461.873962, -427.948273 -452.859985 -366.645599, 
473.710236 -385.149750 383.847076, -397.701874 408.510010 446.724792, 344.027313 432.165771 -462.161957, -428.116882 -453.134705 -365.548950, 
